timestamp,date,time,co_gt,pt08_s1_co,nmhc_gt,c6h6_gt,pt08_s2_nmhc,nox_gt,pt08_s3_nox,no2_gt,pt08_s4_no2,pt08_s5_o3,temperature,relative_humidity,absolute_humidity,source,simulation,exclusion_reason,exclusion_details
2004-11-04 17:00:00,04/11/2004,17.00.00,,1915.0,,45.9,1889.0,1052.0,340.0,186.0,2603.0,2110.0,24.8,53.9,1.6683,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-04 18:00:00,04/11/2004,18.00.00,8.7,1882.0,,47.5,1920.0,1014.0,328.0,171.0,2609.0,2204.0,23.1,61.1,1.7082,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-05 17:00:00,05/11/2004,17.00.00,8.1,1870.0,,45.0,1871.0,1001.0,351.0,180.0,2483.0,2165.0,23.0,54.2,1.5066,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-11 09:00:00,11/11/2004,09.00.00,6.8,1578.0,,32.3,1605.0,1247.0,429.0,211.0,2032.0,1643.0,9.9,83.4,1.0194,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-11 10:00:00,11/11/2004,10.00.00,5.4,1417.0,,24.1,1407.0,1110.0,490.0,190.0,1709.0,1488.0,10.2,82.3,1.0253,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-11 11:00:00,11/11/2004,11.00.00,4.5,1392.0,,21.0,1325.0,1145.0,511.0,194.0,1631.0,1465.0,11.2,80.7,1.0688,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-16 09:00:00,16/11/2004,09.00.00,5.2,1389.0,,26.3,1463.0,1071.0,518.0,222.0,1694.0,1706.0,11.3,43.9,0.5867,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-17 17:00:00,17/11/2004,17.00.00,7.8,1659.0,,35.9,1685.0,1290.0,423.0,272.0,1946.0,2155.0,16.0,41.5,0.7483,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-17 19:00:00,17/11/2004,19.00.00,6.6,1549.0,,30.1,1553.0,1148.0,446.0,288.0,1796.0,2032.0,13.0,55.1,0.824,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-18 09:00:00,18/11/2004,09.00.00,5.6,1503.0,,27.8,1498.0,1132.0,469.0,249.0,1749.0,1783.0,8.9,67.4,0.7714,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-18 10:00:00,18/11/2004,10.00.00,5.6,1446.0,,22.9,1374.0,1195.0,499.0,282.0,1560.0,1818.0,11.4,58.3,0.7868,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-18 11:00:00,18/11/2004,11.00.00,4.7,1416.0,,20.2,1302.0,1120.0,526.0,278.0,1471.0,1826.0,13.4,52.8,0.8086,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-22 16:00:00,22/11/2004,16.00.00,3.5,1411.0,,22.8,1371.0,1058.0,500.0,235.0,1484.0,1919.0,8.5,49.6,0.5517,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-22 17:00:00,22/11/2004,17.00.00,4.0,1509.0,,25.4,1439.0,1080.0,459.0,199.0,1577.0,2078.0,8.5,52.6,0.5856,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
2004-11-22 18:00:00,22/11/2004,18.00.00,6.3,1738.0,,38.3,1735.0,1301.0,365.0,240.0,1917.0,2434.0,8.9,53.4,0.6117,UCI_Air_Quality_Dataset,True,nox_gt_out_of_range,"nox_gt outside range [0, 1000]"
